¶ Linstruction des	¶ L'instruction des
mon pere/ et plus ne me uerrez. Et de iugement:	mon pere/ et plus ne me verrez. Et de jugement:
car le prince de ce monde est desia iuge ⁊c.	car le prince de ce monde est desja juge etc.
Quãd iceluy uiendra qui est lesperit de uerite/ il	Quand iceluy viendra qui est l'esperit de verite/ il
uous conduira en toute uerite. Iehan.16.b.	vous conduira en toute verite. Jehan.16.b.
Iceluy uous baptisera en sainct esperit et feu.	Iceluy vous baptisera en sainct esperit et feu.
Matth.3.c.	Matth.3.c.
Se aucun nest nay de eaue et du sainct espe¬	Se aucun n'est nay de eaue et du sainct espe¬
rit/ il ne poeut entrer au royaume de Dieu. Ie¬	rit/ il ne poeut entrer au royaume de Dieu. Je¬
han.3.a.	han.3.a.
Lesperit inspire la ou il ueut/ et tu oys sa	L'esperit inspire la ou il veut/ et tu oys sa
uoix: mais tu ne scais dont elle uient/ ne la ou	voix: mais tu ne scais dont elle vient/ ne la ou
elle ua. Ainsi est tout homme qui est nay de lespe¬	elle va. Ainsi est tout homme qui est nay de l'espe¬
rit. Iehan.3.a.	rit. Jehan.3.a.
Le Seigneur est esperit/ ⁊ la ou est lesperit du	Le Seigneur est esperit/ et la ou est l'esperit du
Seigneur/ la est liberte. 2.Corin.3.d.	Seigneur/ la est liberte. 2.Corin.3.d.
Ce nestes uous point qui parlez: mais cest	Ce n'estes vous point qui parlez: mais c'est
lesperit de uostre pere qui parle en uous. Mat¬	l'esperit de vostre pere qui parle en vous. Mat¬
thieu.10.b.	thieu.10.b.
Lesperit ayde noz infirmitez. Car nous ne	L'esperit ayde noz infirmitez. Car nous ne
scauons point quelle chose nous deuons prier	scavons point quelle chose nous devons prier
comme il appartient: mais lesperit mesme prie	comme il appartient: mais l'esperit mesme prie
pour nous par gemissemens inenarrables. Ro¬	pour nous par gemissemens inenarrables. Ro¬
mains.8.e.	mains.8.e.
Apres que auez creu/ uous auez este signez du	Apres que avez creu/ vous avez este signez du
sainct esperit de promission/ qui est arre de nostre	sainct esperit de promission/ qui est arre de nostre
heritage. Ephe.1.c.	heritage. Ephe.1.c.
Celuy qui nous conferme auec uous en Christ/	Celuy qui nous conferme avec vous en Christ/
⁊ qui nous a oingt/ est Dieu: ⁊ celuy qui nous a	et qui nous a oingt/ est Dieu: et celuy qui nous a
signe et donne le arre de lesperit en noz coeurs.	signe et donne le arre de l'esperit en noz coeurs.
2.Corinth.1.d.	2.Corinth.1.d.
Quiconque na lesperit de Christ/ il nest point	Quiconque n'a l'esperit de Christ/ il n'est point
sien. Roma.8.b.	sien. Roma.8.b.
Quicõques sont menez par lesperit de Dieu/	Quiconques sont menez par l'esperit de Dieu/
iceux sont enfans de Dieu. Rom̃.8.c.	iceux sont enfans de Dieu. Rom̃.8.c.
Pource que uous estes enfans de dieu: dieu a	Pource que vous estes enfans de dieu: dieu a
enuoye lesperit de sõ filz en uoz coeurs criãt Abba	envoye l'esperit de son filz en voz coeurs criant Abba
(cest a dire) pere. Gala.4.a.	(c'est a dire) pere. Gala.4.a.
Certes celuy esperit rend tesmoignage a nostre	Certes celuy esperit rend tesmoignage a nostre
esperit/ que nous sommes enfans de dieu. Ro.8.c.	esperit/ que nous sommes enfans de dieu. Ro.8.c.
Dieu le nous a reuele par sõ esperit. Car lespe¬	Dieu le nous a revele par son esperit. Car l'espe¬
rit enquiert profondement toutes choses: aussi les	rit enquiert profondement toutes choses: aussi les
choses profondes de dieu. Car qui est ce des hõmes	choses profondes de dieu. Car qui est ce des hommes
qui scait les choses de lhomme: sinon lesperit de	qui scait les choses de l'homme: sinon l'esperit de
lhomme qui est en iceluy? En telle maniere aussi:	l'homme qui est en iceluy? En telle maniere aussi:
les choses qui sont de Dieu nul ne les a congneu/	les choses qui sont de Dieu nul ne les a congneu/
sinon lesperit de Dieu. Et nous nauons point re¬	sinon l'esperit de Dieu. Et nous n'avons point re¬
ceu lesperit de ce monde: mais lesperit qͥ est de dieu/	ceu l'esperit de ce monde: mais l'esperit qui est de dieu/
affin que nous congnoissions les choses qui nous	affin que nous congnoissions les choses qui nous
sont donnees de Dieu ⁊c. 1.Corin.2.c.d.	sont donnees de Dieu etc. 1.Corin.2.c.d.
Pour ce ie uous fay ascauoir: que nul parlant	Pour ce je vous fay ascavoir: que nul parlant
par lesperit de dieu/ ne dit parolle execrable de Ie¬	par l'esperit de dieu/ ne dit parolle execrable de Je¬
sus. Et nul ne poeut dire seigneur Iesus/ sinõ par	sus. Et nul ne poeut dire seigneur Jesus/ sinon par
le sainct esperit. Il y a diuisions de graces: mais il	le sainct esperit. Il y a divisions de graces: mais il
ny a que un mesme esperit ⁊c. 1.Cor.12.a.	n'y a que un mesme esperit etc. 1.Cor.12.a.
Un mesme esperit faict toutes ces choses/ de¬	Un mesme esperit faict toutes ces choses/ de¬
partant a un chascun ainsi quil ueut. Car nous	partant a un chascun ainsi qu'il veut. Car nous
sommes tous baptizez en un esperit/ en un corps.	sommes tous baptizez en un esperit/ en un corps.
1.Corin.12.b.	1.Corin.12.b.
Allez ⁊ enseignez toutes gens: ⁊ les baptisez au	Allez et enseignez toutes gens: et les baptisez au
nom du pere ⁊ du filz ⁊ du saĩct esperit. Mat.28.d.	nom du pere et du filz et du sainct esperit. Mat.28.d.
Tous pechez seront pardonnez aux filz des hõ¬	Tous pechez seront pardonnez aux filz des hom¬
mes/ ⁊ les blasphemes qͥlz aurõt blaspheme: mais	mes/ et les blasphemes qu'ilz auront blaspheme: mais
qui blasphemera contre le sainct esperit/ il naura	qui blasphemera contre le sainct esperit/ il n'aura
point remission eternellemẽt/ mais sera tenu coul¬	point remission eternellement/ mais sera tenu coul¬
pable de eternel iugemẽt. Marc.3.d. Matth.12.c.	pable de eternel jugement. Marc.3.d. Matth.12.c.
Luc.12.b. Hebr.6.a.	Luc.12.b. Hebr.6.a.
Leglise uniuerselle/ la cõmu¬	L'eglise universelle/ la commu¬
nion des sainctz.	nion des sainctz.
La maison de Dieu/ qui est leglise de Dieu ui¬	La maison de Dieu/ qui est l'eglise de Dieu vi¬
uant/ colomne ⁊ fermete de uerite. 1.Timo.3.d.	vant/ colomne et fermete de verite. 1.Timo.3.d.
Les femmes soiẽt subiectes a leur maris/ ainsi	Les femmes soient subjectes a leur maris/ ainsi
que a nostre Seigneur: car le mary est chief de la	que a nostre Seigneur: car le mary est chief de la
femme: ainsi que Christ est chief de leglise: ⁊ iceluy	femme: ainsi que Christ est chief de l'eglise: et iceluy
est le sauueur de son corps. Et ainsi que leglise est	est le sauveur de son corps. Et ainsi que l'eglise est
subiecte a Christ: ainsi aussi les femmes soient a	subjecte a Christ: ainsi aussi les femmes soient a
leͬs maris en toutes choses. Uous marys/ aymez	leurs maris en toutes choses. Vous marys/ aymez
uoz femmes ainsi que Christ a ayme leglise/ ⁊ sest	voz femmes ainsi que Christ a ayme l'eglise/ et s'est
dõne soymesme pour elle/ affin qui la sanctifiast/	donne soymesme pour elle/ affin qui la sanctifiast/
la nettoyant par le lauemẽt deaue par la parolle	la nettoyant par le lavement d'eaue par la parolle
de uie/ affin quil rendist a soy leglise glorieuse/	de vie/ affin qu'il rendist a soy l'eglise glorieuse/
nayant q̃lque tache/ ou ride/ ou aucune telle cho¬	n'ayant quelque tache/ ou ride/ ou aucune telle cho¬
se/ mais affin quelle soit saincte et sans tache ⁊c.	se/ mais affin qu'elle soit saincte et sans tache etc.
Nous sommes membres de son corps/ de sa chair/	Nous sommes membres de son corps/ de sa chair/
⁊ de ses os ⁊c. Ce mystere est grand: mais ie dy en	et de ses os etc. Ce mystere est grand: mais je dy en
Christ ⁊ en leglise. Ephe.5.e.	Christ et en l'eglise. Ephe.5.e.
Iceluy est le chief du corps de leglise. Colo.1.d.	Iceluy est le chief du corps de l'eglise. Colo.1.d.
Ephe.1.d. 1.Corin.11.a.	Ephe.1.d. 1.Corin.11.a.
Nul ne poeut mettre autre fõdemẽt q̃ celuy qui	Nul ne poeut mettre autre fondement que celuy qui
est mis/ lequel est Iesus Christ. 1.Corin.3.c.	est mis/ lequel est Jesus Christ. 1.Corin.3.c.
Sur le fõdemẽt des apostres ⁊ ꝓphetes. Eph.2.d	Sur le fondement des apostres et prophetes. Eph.2.d
Et la pierre estoit Christ. 1.Cor.10.a. 1.Pier.2.b.	Et la pierre estoit Christ. 1.Cor.10.a. 1.Pier.2.b.
Matth.21.d.	Matth.21.d.
Christ comme filz a administre la maison dice¬	Christ comme filz a administre la maison d'ice¬
luy/ laquelle maison sõmes nous/ se nous retenõs	luy/ laquelle maison sommes nous/ se nous retenons
ferme fiance ⁊ gloriation de lesperance/ iusque a la	ferme fiance et gloriation de l'esperance/ jusque a la
fin. Hebr.3.b.	fin. Hebr.3.b.
Si uous auez gouste/ combien le Seigneur est	Si vous avez gouste/ combien le Seigneur est
doulx/ duquel uous approchans/ qui est la pierre	doulx/ duquel vous approchans/ qui est la pierre
uiue/ reprouuee certes des hommes/ mais esleue ⁊	vive/ reprouvee certes des hommes/ mais esleve et
honnoree de Dieu. Soyez comme pierres uiues/	honnoree de Dieu. Soyez comme pierres vives/
edifiez sur elle/ en une maison spirituelle/ en un sa¬	edifiez sur elle/ en une maison spirituelle/ en un sa¬
cerdoce sainct. Uous estes la generation esleue/ le	cerdoce sainct. Vous estes la generation esleve/ le
sacerdoce royal/ la gent saincte/ le peuple dacqui¬	sacerdoce royal/ la gent saincte/ le peuple d'acqui¬
sition. 1.Pier.2.b.	sition. 1.Pier.2.b.
Uous nestes donc plus estrangiers ⁊ pelerins:	Vous n'estes donc plus estrangiers et pelerins:
mais uous estes citoyens des sainctz/ et domestic¬	mais vous estes citoyens des sainctz/ et domestic¬
ques de Dieu/ edifiez sur le fondement des apo¬	ques de Dieu/ edifiez sur le fondement des apo¬
stres et prophetes/ qui est la treshaute pierre angu¬	stres et prophetes/ qui est la tres haute pierre angu¬
laire Iesus Christ/ auquel toute edification con¬	laire Jesus Christ/ auquel toute edification con¬
struicte croist en un temple sainct en nostre Sei¬	struicte croist en un temple sainct en nostre Sei¬
gneur/ auquel uous aussi estes edifiez en un ta¬	gneur/ auquel vous aussi estes edifiez en un ta¬
bernacle de Dieu par le sainct esperit. Eph.2.d.	bernacle de Dieu par le sainct esperit. Eph.2.d.
Cestuy a donne/ aucuns pour estre apostres/	Cestuy a donne/ aucuns pour estre apostres/
aucuns prophetes/ les autres euangelistes/ et les	aucuns prophetes/ les autres evangelistes/ et les
autres pasteurs et docteurs pour la perfection	autres pasteurs et docteurs pour la perfection
des sainctz a loeuure de ladministration/ a ledi¬	des sainctz a l'oeuvre de l'administration/ a l'edi¬
fication du corps de Christ: iusque a ce que nous	fication du corps de Christ: jusque a ce que nous
tous allions au deuant en unite de foy et de con¬	tous allions au devant en unite de foy et de con¬
gnoissance du filz de dieu/ en hõme parfaict/ en la	gnoissance du filz de dieu/ en homme parfaict/ en la
mesure de leage de la plenitude de Christ ⁊c.	mesure de l'eage de la plenitude de Christ etc.
Ephesiens.4.c.	Ephesiens.4.c.
Sur toutes ces choses ayez charite qͥ est le lyen	Sur toutes ces choses ayez charite qui est le lyen
de perfection/ ⁊ la paix de Christ soit en liesse en	de perfection/ et la paix de Christ soit en liesse en
uoz coeurs: en laquelle aussi estes appellez en un	voz coeurs: en laquelle aussi estes appellez en un
corps. Colos.2.c.	corps. Colos.2.c.
Ne scauez uous pas que uous estes le temple de	Ne scavez vous pas que vous estes le temple de
Dieu: ⁊ que lesperit de Dieu habite en uous. Et	Dieu: et que l'esperit de Dieu habite en vous. Et
se aucun uiole le temple de Dieu/ Dieu le destrui¬	se aucun viole le temple de Dieu/ Dieu le destrui¬
ra. Car le temple de Dieu est sainct: lequel uous	ra. Car le temple de Dieu est sainct: lequel vous
estes. 1.Corin.3.d.	estes. 1.Corin.3.d.
Ne scauez uous pas bien que uoz corps sont les	Ne scavez vous pas bien que voz corps sont les
mẽbres de Christ ⁊c. Ne scauez uous point que uoz	membres de Christ etc. Ne scavez vous point que voz
membres sont le temple du sainct esperit/ qui est en	membres sont le temple du sainct esperit/ qui est en
uous: lequel uous auez de Dieu et nestes point	vous: lequel vous avez de Dieu et n'estes point
a uous. Certes uous estes achetez de grand pris/	a vous. Certes vous estes achetez de grand pris/
glorifiez/ et portez dieu en uostre corps. 1.Corin¬	glorifiez/ et portez dieu en vostre corps. 1.Corin¬
thiens.6.d.	thiens.6.d.
Uous certes estes le tẽple de dieu uiuãt: ainsi q̃	Vous certes estes le temple de dieu vivant ainsi que
dieu dit: Ie habiteray en eux/ ⁊ chemineray entre	dieu dit: Je habiteray en eux/ et chemineray entre
eux/ ⁊ ie seray leur dieu/ et ilz seront mon peuple.	eux/ et je seray leur dieu/ et ilz seront mon peuple.
2.Corin.6.d. 3.Moyse.26.b.	2.Corin.6.d. 3.Moyse.26.b.
Uous tous estes un en Christ. Gala.3.d.	Vous tous estes un en Christ. Gala.3.d.
Plusieurs faisons un corps en Christ. Roma.	Plusieurs faisons un corps en Christ. Roma.
12.a. 1.Corin.12.b.	12.a. 1.Corin.12.b.
Plusieurs sõmes un pain/ un corps: car nous	Plusieurs sommes un pain/ un corps: car nous
participõs tous dun mesme pain. 1.Corin.10.d.	participons tous d'un mesme pain. 1.Corin.10.d.
Celuy qui sanctifie/ ⁊ ceux qui sont sanctifiez/	Celuy qui sanctifie/ et ceux qui sont sanctifiez/
tous sont dun. Heb.2.c.	tous sont d'un. Heb.2.c.
Cõme celuy qui uous a appelle est sainct/ que	Comme celuy qui vous a appelle est sainct/ que
aussi uous soyez sainctz en toute cõuersation: car	aussi vous soyez sainctz en toute conversation: car
il est escrit/ Uous serez sainctz/ car ie suis sainct.	il est escrit/ Vous serez sainctz/ car je suis sainct.
1.Pier.1.c. 3.Moyse.11.g.19.a.20.b.	1.Pier.1.c. 3.Moyse.11.g.19.a.20.b.
Rendans graces au pere/ qui nous a faict di¬	Rendans graces au pere/ qui nous a faict di¬
gnes en la partie de lheritage des sainctz en lumie	gnes en la partie de l'heritage des sainctz en lumie¬
re/ qui nous a deliure de la puissãce des tenebres/	re/ qui nous a delivre de la puissance des tenebres/
⁊ nous a transportez au royaume du filz de sa dile	et nous a transportez au royaume du filz de sa dile
ction. Colos.1.b.	ction. Colos.1.b.
La uerite de dieu est en leglise des sainctz. Psal¬	La verite de dieu est en l'eglise des sainctz. Psal¬
me.88.a.	me.88.a.
Se il ne oyt point iceux dy le a leglise. Et sil	Se il ne oyt point iceux dy le a l'eglise. Et s'il
ne oyt point leglise/ il te soit cõme payen ou pu¬	ne oyt point l'eglise/ il te soit comme payen ou pu¬
blicain. Ou ilz sõt deux ou troys assemblez en	blicain. Ou ilz sont deux ou troys assemblez en
mon nom/ ie suis la au millieu de eux. Mat.18.c.	mon nom/ je suis la au millieu de eux. Mat.18.c.
Et sur ceste pierre ie edifieray mon eglise/ ⁊ les	Et sur ceste pierre je edifieray mon eglise/ et les
portes denfer ne pourront rien a lencontre delle.	portes d'enfer ne pourront rien a l'encontre d'elle.
Matth.16.c.	Matth.16.c.
¶ Des deux signes sacramentaux	¶ Des deux signes sacramentaux
de leglise/ instituez par Ie¬	de l'eglise/ instituez par Je¬
sus Christ.	sus Christ.
¶ Du baptesme.	¶ Du baptesme.
Allez par tout le monde/ ⁊ preschez leuangile a	Allez par tout le monde/ et preschez l'evangile a
toute creature. Qui croyra ⁊ sera baptise: il sera	toute creature. Qui croyra et sera baptise: il sera
sauue. Mais qui ne croyra point/ il sera condẽne.	sauve. Mais qui ne croyra point/ il sera condemne.
Marc.16.d. Matth.28.d.	Marc.16.d. Matth.28.d.
Iehan certes a baptise deaue: mais uoꝰ serez ba¬	Jehan certes a baptise d'eaue: mais vous serez ba¬
ptisez/ du sainct esperit. Act̃.11.a.1.c. Matth.3.c.	ptisez/ du sainct esperit. Act̃.11.a.1.c. Matth.3.c.
Si aucun nest nay deaue ⁊ du sainct esperit/ il	Si aucun n'est nay d'eaue et du sainct esperit/ il
ne poeut entrer au royaume de dieu. Iehan.3.a.	ne poeut entrer au royaume de dieu. Jehan.3.a.
Aussi maintenãt le baptesme estãt rep̃sente par	Aussi maintenant le baptesme estant represente par
icelle figure nous sauue/ non point en ostãt lordu¬	icelle figure nous sauve/ non point en ostant l'ordu¬
re de la chair/ mais en bonne cõscience respondant	re de la chair/ mais en bonne conscience respondant
uers dieu. 1.Pet̃.3.d.	vers dieu. 1.Pet̃.3.d.
¶ De la table de nostre Seigñr.	¶ De la table de nostre Seigneur.
Cõme ilz mangeoient/ Iesus print du pain/ et	Comme ilz mangeoient/ Jesus print du pain/ et
quand il eu rendu graces le rõpit/ ⁊ le dõna a ses	quand il eu rendu graces le rompit/ et le donna a ses
disciples/ ⁊ dit: Prenez/ mangez: ce/ est mon corps.	disciples/ et dit: Prenez/ mangez: ce/ est mon corps.
Et en prenãt le calice/ rendit graces/ ⁊ leur dõna/	Et en prenant le calice/ rendit graces/ et leur donna/
disant: Beuuez tous de ce. Car ce/ est mon sang du	disant: Beuvez tous de ce. Car ce/ est mon sang du
nouueau testament: lequel est espandu pour plu¬	nouveau testament: lequel est espandu pour plu¬
sieurs en la remission des pechez. Et uous dy: Ie	sieurs en la remission des pechez. Et vous dy: Je
ne beuuray doresnauant de ce germe de uigne: iusq̃	ne beuvray doresnavant de ce germe de vigne: jusque
a iceluy iour/ quand ie beuuray iceluy nouueau	a iceluy jour/ quand je beuvray iceluy nouveau
auec uous au royaume de mon pere. Et quãd ilz	avec vous au royaume de mon pere. Et quand ilz
eurent dit la louenge ilz se partirent/ ⁊ allerent en	eurent dit la louenge ilz se partirent/ et allerent en
la mõtaigne de Oliuet. Matth.26.c. Marc.14.c.	la montaigne de Olivet. Matth.26.c. Marc.14.c.
Luc.22.b.	Luc.22.b.
Iay receu de nostre Seigneur ce que ie uous ay	J'ay receu de nostre Seigneur ce que je vous ay
baille: que nostre Seigneur Iesus: en la nuict en	baille: que nostre Seigneur Jesus: en la nuict en
laquelle il fut liure/ print le pain/ ⁊ quand il eut rẽ	laquelle il fut livre/ print le pain/ et quand il eut ren¬
du graces le rompit/ ⁊ dit: Prenez/ mangez: ce/ est	du graces le rompit/ et dit: Prenez/ mangez: ce/ est
mon corps/ qui est rompu pour uous. Faictes cecy	mon corps/ qui est rompu pour vous. Faictes cecy
en memoire de moy. Semblablement aussi le cali	en memoire de moy. Semblablement aussi le cali¬
