¶ Sũmaire/ ⁊ briefue	¶ Summaire/ et briefve
nant q̃ iamais/ ueu que le mõde ne	nant que jamais/ veu que le monde ne
scait quil doit faire. Car de croire	scait qu’il doit faire. Car de croire
uoit biẽ qͥl ne faict rien selõ Dieu:	voit bien qu’il ne faict rien selon Dieu:
mais quil a paradis ⁊ enfer (cõme	mais qu’il a paradis et enfer (comme
il dit) a uẽdre. Iesus aux paoures	il dit) a vendre. Jesus aux paovres
donne le royaume des cieulx: mais	donne le royaume des cieulx: mais
gences ⁊ remissiõs fors a ceulx qui	gences et remissions fors a ceulx qui
ont argẽt/ les paoures ny ont rien.	ont argent/ les paovres n’y ont rien.
Il les donne aussi a ceulx qui font	Il les donne aussi a ceulx qui font
grosses fondations: ⁊ par ainsi les	grosses fondations: et par ainsi les
aux uniuersitez on ne peult: car on	aux universitez on ne peult: car on
ny uoit q̃ meschancete/ ambition ⁊	n’y voit que meschancete/ ambition et
ordure/ si gros orgueil qͥlz ueulent	ordure/ si gros orgueil qu’ilz veulent
quon les croye sans escripture par	qu’on les croye sans escripture par
leur teste/ ou de leur main. Ce que	leur teste/ ou de leur main. Ce que
Iesus na point usurpe. Ilz ostent	Jesus n’a point usurpe. Ilz ostent
aux peuples tout le iugement de ce	aux peuples tout le jugement de ce
qui leur est propose/ ne permettãtz	qui leur est propose/ ne permettantz
estimantz tant seulemẽt leur nom	estimantz tant seulement leur nom
⁊ de leurs uniuersitez/ auec leur de¬	et de leurs universitez/ avec leur de¬
termination ⁊ sentẽces cõtre ce qͥ ne	termination et sentences contre ce qui ne
leur plaict: affin quon croye a eulx/	leur plaict: affin qu’on croye a eulx/
disent/ sans contredire/ tenant tout	disent/ sans contredire/ tenant tout
ce quilz disent pour article de foy.	ce qu’ilz disent pour article de foy.
Cecy ne peuuent porter ceulx qͥ les	Cecy ne peuvent porter ceulx qui les
cõgnoissent/ ⁊ tous uoyẽt bien que	congnoissent/ et tous voyent bien que
par leur auctorite/ ⁊ a force de feu ⁊	par leur auctorite/ et a force de feu et
de glaiue ilz se deffendẽt. Qui croi¬	de glaive ilz se deffendent. Qui croi¬
ra aussi a prebstrise ou est toute ini¬	ra aussi a prebstrise ou est toute ini¬
quite? aux ordres qui iamais ne ser	quite? aux ordres qui jamais ne ser¬
ont ⁊ portẽt la uerite ne peult croi¬	ont et portent la verite ne peult croi¬
re le paoure peuple: pourtant qͥl ya	re le paovre peuple: pourtant qu’il y a
si lõg tẽps q̃ les tenebres ont regne/	si long temps que les tenebres ont regne/
⁊ que Lãtechrist (quest le pape) a si	et que L’antechrist (qu’est le pape) a si
Roys/ ⁊ nations/ persecutãt ⁊ met¬	Roys/ et nations/ persecutant et met¬
tant a mort tous ceulx qͥ sont pour	tant a mort tous ceulx qui sont pour
la uerite: parquoy le peuple igno¬	la verite: parquoy le peuple igno¬
rant ne peult croire que ce soit la ue	rant ne peult croire que ce soit la ve¬
estre mis a mort/ ne pouãt croire qͥl	estre mis a mort/ ne povant croire qu’il
fust filz de Dieu/ ueu que tous les	fust filz de Dieu/ veu que tous les
gros ⁊ le cõseil des estimez sages la	gros et le conseil des estimez sages l’a¬
uoyent condãne a mort.	voyent condamne a mort.
nous cõe par auãt/ poͬquoy ayãtz	nous come par avant/ pourquoy ayantz
charite si grande ne mõstrent ilz le	charite si grande ne monstrent ilz le
chemin tout clairemẽt cõment de¬	chemin tout clairement comment de¬
uõs cheminer/ ⁊ fõt les autres oeu¬	vons cheminer/ et font les autres oeu¬
nostre instruction. Laissons dõc	nostre instruction. Laissons donc
ces opiniõs ⁊ resueries que les hõ¬	ces opinions et resveries que les hom¬
mes ont songe/ ⁊ nous tenõs pure¬	mes ont songe/ et nous tenons pure¬
mẽt a ce qui nous est clairement cõ	ment a ce qui nous est clairement com¬
uocquõs par nostre seul mediateur	vocquons par nostre seul mediateur
⁊ aduocat nostre Seigñr Iesus/ qͥ	et advocat nostre Seigneur Jesus/ qui
nous a promis que tout ce q̃ nous	nous a promis que tout ce que nous
demãderõs au pere en son nom que	demanderons au pere en son nom que
fermes en sa ꝑolle ⁊ en nulle autre.	fermes en sa parolle et en nulle autre.
¶ Des festes. Chap̃.xxuiii.	¶ Des festes. Chapitre.xxviii.
N	N¬
Ostre Seigñr cõmandãt	Ostre Seigneur commandant
uoulant quon sanctifiast	voulant qu’on sanctifiast
ce iour sãs faire oeuure ser	ce jour sans faire oeuvre ser¬
uile: cõme labeur de terre ⁊ sembla¬	vile: comme labeur de terre et sembla¬
ble/ ce na pas este pourtãt q̃ ouurer	ble/ ce n’a pas este pourtant que ouvrer
tremẽt iamais il neust cõmande de	trement jamais il n’eust commande de
trauailler ⁊ gaigner sa uie a la	travailler et gaigner sa vie a la
sueur de sõ uisage: ains la ainsi or¬	sueur de son visage: ains l’a ainsi or¬
donne/ affin quon gardast charite/	donne/ affin qu’on gardast charite/
uiteurs/ ne les opprimãt point par	viteurs/ ne les opprimant point par
continuel labeur ⁊ trauail. Mais	continuel labeur et travail. Mais
quon leur donnast ung iour de re¬	qu’on leur donnast ung jour de re¬
pos apres qͥlz ont besõgne six ioͬs	pos apres qu’ilz ont besongne six jours
Le septiesme iour est le repos du	Le septiesme jour est le repos du
Seigͬ Dieu. Tu ne feras aucune	Seigneur Dieu. Tu ne feras aucune
oeuure/ toy ton filz/ ta fille/ et ton	oeuvre/ toy ton filz/ ta fille/ et ton
seruiteur/ ⁊ ta chãberiere/ ton boeuf	serviteur/ et ta chamberiere/ ton boeuf
stranger qui est dedans tes portes/	stranger qui est dedans tes portes/
affin que tõ seruiteur ⁊ ta chãbriere	affin que ton serviteur et ta chambriere
reposent cõme toy. Aye souuenãce q̃	reposent comme toy. Aye souvenance que
tu as este serf en Egypte. Tou	tu as este serf en Egypte. Tou¬
⁊ la terre en six iours/ ⁊ se reposa le	et la terre en six jours/ et se reposa le
samedy qͥ est le septiesme/ cela nous	samedy qui est le septiesme/ cela nous
designe le grãd repos q̃ nostre Sei¬	designe le grand repos que nostre Sei¬
gneur Iesus nous a annõce/ nous	gneur Jesus nous a annonce/ nous
de peche.	de peche.
Et ne fault que le chrestien face	Et ne fault que le chrestien face
distinction entre iour ⁊ iour/ tẽps ⁊	distinction entre jour et jour/ temps et
tẽps/ annee ⁊ annee/ cõme si lung	temps/ annee et annee/ comme si l’ung
leur que lautre. Car proprement	leur que l’autre. Car proprement
le fidele ne cõpte q̃ ung iour de tou	le fidele ne compte que ung jour de tou¬
te sa uie/ lequel par le mouuement	te sa vie/ lequel par le mouvement
du sainct esperit il tache de sãctifier	du sainct esperit il tache de sanctifier
peche ⁊ uiuãt a iustice/ faisãt loeu¬	peche et vivant a justice/ faisant l’oeu¬
ure ⁊ labeur qui est a lhonneur de	vre et labeur qui est a l’honneur de
Dieu/ ⁊ au proffit de son prochain	Dieu/ et au proffit de son prochain
pour ayder ceulx qui ont necessite/	pour ayder ceulx qui ont necessite/
nant auec les fideles poͬ ouyr la pa	nant avec les fideles pour ouyr la pa¬
rolle de Dieu/ ⁊ receuant ⁊ prenãt	rolle de Dieu/ et recevant et prenant
le pain de action de graces/ uenant	le pain de action de graces/ venant
a la table de nostre Seigneur auec	a la table de nostre Seigneur avec
ainsi q̃ la charite requiert. Non pas	ainsi que la charite requiert. Non pas
par obseruation des iours ne pour	par observation des jours ne pour
les hõnorer (car cela est demoure de	les honnorer (car cela est demoure de
lidolatrie des payẽs ⁊ de la supersti	l’idolatrie des payens et de la supersti¬
cõpose ses loix ⁊ coustumes) Mais	compose ses loix et coustumes) Mais
faict tout en lhonneur de Dieu/ et	faict tout en l’honneur de Dieu/ et
poͬ garder charite auec sõ ꝓchain.	pour garder charite avec son prochain.
Au regard de ceste multitude de	Au regard de ceste multitude de
iniques ont trouue pour auoir des	iniques ont trouve pour avoir des
messes/ offrandes/ ⁊ sẽblables cho¬	messes/ offrandes/ et semblables cho¬
ses/ cest toute presumptiõ sur la pa	ses/ c’est toute presumption sur la pa¬
rolle de Dieu. Le Chrestien quãd	rolle de Dieu. Le Chrestien quand
qͥ nont encore rien ouy de la uerite/	qui n’ont encore rien ouy de la verite/
ne laissera point de faire sõ oeuure	ne laissera point de faire son oeuvre
pour les cõmandemẽs du Pape ne	pour les commandemens du Pape ne
des euesques. Mais sil ne peult sãs	des evesques. Mais s’il ne peult sans
par simplesse/ il ne fera sa besõgne	par simplesse/ il ne fera sa besongne
deuant iceulx/ attendãt quilz uien	devant iceulx/ attendant qu’ilz vien¬
nent a la cõgnoissance de uerite/ en	nent a la congnoissance de verite/ en
portãt la tyrãnie iusque a ce que la	portant la tyrannie jusque a ce que la
gile abbate les cornes de Lante¬	gile abbate les cornes de L’ante¬
christ/ le destruisant par lesperit de	christ/ le destruisant par l’esperit de
sa bouche. Ce que desia est fort com	sa bouche. Ce que desja est fort com¬
mence. Pourtãt/ tous ceulx qui	mence. Pourtant/ tous ceulx qui
car le salut approche. Ung chascun	car le salut approche. Ung chascun
tache dautant quil repose du corps	tache d’autant qu’il repose du corps
autãt employer son esperit aux cho	autant employer son esperit aux cho¬
ses de Dieu/ pẽsant ⁊ meditant en	ses de Dieu/ pensant et meditant en
cte parolle/ en regardant le sainct	cte parolle/ en regardant le sainct
euãgile/ fuyãt toutes manieres exe	evangile/ fuyant toutes manieres exe¬
crables quon a garde iusque a pre¬	crables qu’on a garde jusque a pre¬
sent en toute idolatrie/ blaspheme/	sent en toute idolatrie/ blaspheme/
Il eust este trop meilleur q̃ ung	Il eust este trop meilleur que ung
chascun eust faict comme on faisoit	chascun eust faict comme on faisoit
en la primitiue eglise. Apres quon	en la primitive eglise. Apres qu’on
auoit ouy la ꝑolle de Dieu/ ⁊ prins	avoit ouy la parolle de Dieu/ et prins
en la table de nostre Seigͬ/ chascun	en la table de nostre Seigneur/ chascun
alloit a son oeuure. Helas cõ¬	alloit a son oeuvre. Helas com¬
bien de meschancete ordure ⁊ iniqͥte	bien de meschancete ordure et iniquite
eust on euite? Mais il a fallu q̃	eust on evite? Mais il a fallu que
que Iesus triumphast de luy cõme	que Jesus triumphast de luy comme
de tous ceulx qͥ uiennẽt contre luy/	de tous ceulx qui viennent contre luy/
sur lesquelz il a estendu sa main for	sur lesquelz il a estendu sa main for¬
te/ laquelle il ne retirera iusque a ce	te/ laquelle il ne retirera jusque a ce
propose.	propose.
¶ De la cõfession enuers Dieu.	¶ De la confession envers Dieu.
De la recõciliatiõ enuers le ꝓ¬	De la reconciliation envers le pro¬
chain. De la cõfessiõ au p̃bstre.	chain. De la confession au prebstre.
C	C¬
Onfession en lescripture	Onfession en l’escripture
est dõner gloire a Dieu/	est donner gloire a Dieu/
le magnifier ⁊ exaulcer/	le magnifier et exaulcer/
ce et sagesse.	ce et sagesse.
Pourtãt lhõe regardãt soymes¬	Pourtant l’home regardant soymes¬
me ⁊ ses meffaictz/ il se condemne ⁊	me et ses meffaictz/ il se condemne et
iuge estre tout autre q̃ Dieu/ don¬	juge estre tout autre que Dieu/ don¬
iuste/ ainsi q̃ lhõe est mauuais/ in¬	juste/ ainsi que l’home est mauvais/ in¬
iuste ⁊ inique. Quãd en ceste sor	juste et inique. Quand en ceste sor¬
te humilie pour son peche/ regarde	te humilie pour son peche/ regarde
⁊ retourne a la bonte infinie. Dieu	et retourne a la bonte infinie. Dieu
uees/ dõnant grace aux humbles ⁊	vees/ donnant grace aux humbles et
deprimees/ par Iesuchrist pardõne	deprimees/ par Jesuchrist pardonne
a cest hõme. Ainsi le sainct ꝓphete	a cest homme. Ainsi le sainct prophete
Daniel a ꝯfesse a Dieu ses pechez	Daniel a confesse a Dieu ses pechez
fession est pleine lescripture/ disant	fession est pleine l’escripture/ disant
quil nya rien pur ne net/ q̃ Dieu.	qu’il n’y a rien pur ne net/ que Dieu.
Il ya oultre cecy la recõciliatiõ	Il y a oultre cecy la reconciliation
fraternelle/ quand on a offense son	fraternelle/ quand on a offense son
on uient demander pardon lung a	on vient demander pardon l’ung a
lautre. Pourtant nostre Seigñr	l’autre. Pourtant nostre Seigneur
deffendant hayne ⁊ rancune/ nous	deffendant hayne et rancune/ nous
cõmande quãd nostre frere (nous	commande quand nostre frere (nous
toꝰ freres/ ayãt ung pere celestiel)	tous freres/ ayant ung pere celestiel)
a peche contre nous/ ⁊ il sen repẽt/	a peche contre nous/ et il s’en repent/
noꝰ luy deuons pardõner. Et affin	nous luy devons pardonner. Et affin
que nous ne laissons a pardõner/ il	que nous ne laissons a pardonner/ il
pardon a nostre pere/ ainsi q̃ uraye	pardon a nostre pere/ ainsi que vraye¬
mẽt pardõnons. Car ainsi q̃ nous	ment pardonnons. Car ainsi que nous
faisons il nous sera faict/ nous cõ¬	faisons il nous sera faict/ nous com¬
mandant sus tout charite ⁊ prõpti	mandant sus tout charite et prompti¬
deuons tout laisser pour nous recõ	devons tout laisser pour nous recon¬
cilier a nostre frere. Cõme il dõne a	cilier a nostre frere. Comme il donne a
entendre de celuy qui offre son don	entendre de celuy qui offre son don
a lautel. Car en ce tẽps quil cõmẽca	a l’autel. Car en ce temps qu’il commenca
rõs/ on ne faisoit estime de riẽ sinõ	rons/ on ne faisoit estime de rien sinon
de donner ⁊ offrir au temple. Ainsi	de donner et offrir au temple. Ainsi
auoit surmõte la doctrine des Pha	avoit surmonte la doctrine des Pha¬
risiẽs pleins dauarice qͥlz ne crioiẽt	risiens pleins d’avarice qu’ilz ne crioient
quon laissoit de secourir a pere et a	qu’on laissoit de secourir a pere et a
mere pour dõner au tẽple/ sans re¬	mere pour donner au temple/ sans re¬
garder q̃ nostre Seigñr ueult beni¬	garder que nostre Seigneur veult beni¬
gnite ⁊ misericorde/ ⁊ non sacrifice/	gnite et misericorde/ et non sacrifice/
causte. Pourtãt Iesus dict: quãd	causte. Pourtant Jesus dict: quand
tu auras a faire une chose si gran¬	tu auras a faire une chose si gran¬
de/ cõme on ta dict ⁊ appris/ du don	de/ comme on t’a dict et appris/ du don
q̃ tu offre a lautel/ laisse le la ⁊ ua	que tu offre a l’autel/ laisse le la et va
ne en amour ⁊ charite auec luy. Car	ne en amour et charite avec luy. Car
la fin de la loy est charite: ⁊ qͥ ayme	la fin de la loy est charite: et qui ayme
son prochain il a accõply la loy. Et	son prochain il a accomply la loy. Et
qui pardonne/ il a pardon.	qui pardonne/ il a pardon.
le du prebstre a este cõtrouuee ⁊ cõ¬	le du prebstre a este controuvee et com¬
mandee du Pape ⁊ des siens. Auq̃l	mandee du Pape et des siens. Auquel
elle a tresbiẽ seruy pour scauoir les	elle a tres bien servy pour scavoir les
secretz des Roys ⁊ Princes/ pour	secretz des Roys et Princes/ pour
caue trouble il peschast pays ⁊ roy¬	cave trouble il peschast pays et roy¬
aumes/ faisant son cas ce pendant	aumes/ faisant son cas ce pendant
que les Princes quil auoit mis en	que les Princes qu’il avoit mis en
dissention se cõbatoient. Et par	dissention se combatoient. Et par
pture/ il a tout change/ ⁊ tous sub¬	pture/ il a tout change/ et tous sub¬
tilz moyens ont este cõtrouuez poͬ	tilz moyens ont este controuvez pour
piller le monde. Car les prebstres/	piller le monde. Car les prebstres/
moynes/ religieux/ ⁊ toutes telles	moynes/ religieux/ et toutes telles
sions/ ont sceu toute trõperie ⁊ dece	sions/ ont sceu toute tromperie et dece¬
ption ⁊ toute meschancete/ et puis	ption et toute meschancete/ et puis
en ont use. Par ce moyen toute er¬	en ont use. Par ce moyen toute er¬
reur a este persuadee au peuple/ ⁊ se	reur a este persuadee au peuple/ et se
quil a uoulu: ⁊ a entendu ce qui luy	qu’il a voulu: et a entendu ce qui luy
estoit contraire pour lopprimer et	estoit contraire pour l’opprimer et
destruire. Qui scauroit racõ¬	destruire. Qui scauroit racom¬
pter ne nõbrer la grande multitude	pter ne nombrer la grande multitude
icelle cõfession ont este tirees en en¬	icelle confession ont este tirees en en¬
fer? Cõbien de paoures femmes mi	fer? Combien de paovres femmes mi¬
ses a mal? Cõbien de uierges corrõ	ses a mal? Combien de vierges corrom¬
pues? uefues deuorees? orphelins	pues? vefves devorees? orphelins
pays desolez? puissances ⁊ maisons	pays desolez? puissances et maisons
mises a neãt? grãdz bordeaux dhõ	mises a neant? grandz bordeaux d’hom¬
