¶ Linstruction des	¶ L’instruction des
sauue. Mais qui ne croyra point/ il sera condẽne.	sauve. Mais qui ne croyra point/ il sera condemne.
Iehan certes a baptise deaue: mais uoꝰ serez ba¬	Jehan certes a baptise d’eaue: mais vous serez ba¬
ptisez/ du sainct esperit. Act̃.11.a.1.c. Matth.3.c.	ptisez/ du sainct esperit. Act̃.11.a.1.c. Matth.3.c.
ne poeut entrer au royaume de dieu. Iehan.3.a.	ne poeut entrer au royaume de dieu. Jehan.3.a.
icelle figure nous sauue/ non point en ostãt lordu¬	icelle figure nous sauve/ non point en ostant l’ordu¬
re de la chair/ mais en bonne cõscience respondant	re de la chair/ mais en bonne conscience respondant
¶ De la table de nostre Seigñr.	¶ De la table de nostre Seigneur.
quand il eu rendu graces le rõpit/ ⁊ le dõna a ses	quand il eu rendu graces le rompit/ et le donna a ses
disciples/ ⁊ dit: Prenez/ mangez: ce/ est mon corps.	disciples/ et dit: Prenez/ mangez: ce/ est mon corps.
disant: Beuuez tous de ce. Car ce/ est mon sang du	disant: Beuvez tous de ce. Car ce/ est mon sang du
sieurs en la remission des pechez. Et uous dy: Ie	sieurs en la remission des pechez. Et vous dy: Je
ne beuuray doresnauant de ce germe de uigne: iusq̃	ne beuvray doresnavant de ce germe de vigne: jusque
auec uous au royaume de mon pere. Et quãd ilz	avec vous au royaume de mon pere. Et quand ilz
la mõtaigne de Oliuet. Matth.26.c. Marc.14.c.	la montaigne de Olivet. Matth.26.c. Marc.14.c.
Luc.22.b.	Luc.22.b.
baille: que nostre Seigneur Iesus: en la nuict en	baille: que nostre Seigneur Jesus: en la nuict en
du graces le rompit/ ⁊ dit: Prenez/ mangez: ce/ est	du graces le rompit/ et dit: Prenez/ mangez: ce/ est
mon corps/ qui est rompu pour uous. Faictes cecy	mon corps/ qui est rompu pour vous. Faictes cecy
ce/ apres qͥl eut souppe: disãt/ Ce calice est le nou¬	ce/ apres qu’il eut souppe: disant/ Ce calice est le nou¬
les foys que le beuurez/ en memoire de moy. Car	les foys que le beuvrez/ en memoire de moy. Car
toutes les foys/ que uous mangerez ce pain ⁊ beu¬	toutes les foys/ que vous mangerez ce pain et beu¬
gneur/ iusque a ce quil uienne ⁊c. 1.Corinthiens	gneur/ jusque a ce qu’il vienne etc. 1.Corinthiens
La remission des pechez.	La remission des pechez.
Et affin que sachez que le filz de lhõme a puis¬	Et affin que sachez que le filz de l’homme a puis¬
Paraliticque: Ie te dy/ lieue toy ⁊c. Marc.2.b.	Paraliticque: Je te dy/ lieve toy etc. Marc.2.b.
ten en paix ⁊ ne peche plus. Luc.7.g.	t’en en paix et ne peche plus. Luc.7.g.
Uoicy laigneau de Dieu/ qui oste le peche du	Voicy l’aigneau de Dieu/ qui oste le peche du
Il est un Dieu ⁊ un mediateur de Dieu ⁊ des	Il est un Dieu et un mediateur de Dieu et des
mesme en redemption pour tous. 1.Timo.2.b.	mesme en redemption pour tous. 1.Timo.2.b.
Si aucun a peche nous auons un aduocat	Si aucun a peche nous avons un advocat
lapointement pour noz pechez/ et non seullement	l’apointement pour noz pechez/ et non seullement
monde. 1.Ieh.2.a. Rom̃.8.g.	monde. 1.Jeh.2.a. Rom̃.8.g.
Uous estes de par luy en Iesus Christ qui noꝰ	Vous estes de par luy en Jesus Christ qui nous
ption. 1.Corin.1.d.	ption. 1.Corin.1.d.
Ie suis la lumiere. Iehan.8.b.	Je suis la lumiere. Jehan.8.b.
Il est nostre paix. Ephe.2.c.	Il est nostre paix. Ephe.2.c.
Ie suis la uoye/ la uerite ⁊ la uie. Nul ne uiẽt a	Je suis la voye/ la verite et la vie. Nul ne vient a
Il estoit cõuenable/ que celuy pour lequel sont	Il estoit convenable/ que celuy pour lequel sont
toutes choses qui auoit amene beaucoup denfans	toutes choses qui avoit amene beaucoup d’enfans
passion. Hebr.2.c.	passion. Hebr.2.c.
auoir compassiõ de noz infirmitez: mais celuy qui	avoir compassion de noz infirmitez: mais celuy qui
a este tente en toutes choses par similitude sans	a este tente en toutes choses par similitude sans
Cõsiderez lapostre ⁊ euesque de nostre cõfession	Considerez l’apostre et evesque de nostre confession
cõme Moyse en toute sa maison. Heb.3.a.	comme Moyse en toute sa maison. Heb.3.a.
Et luy qui a este parfaict a este faict cause de	Et luy qui a este parfaict a este faict cause de
pelle euesque selon lordre de Melchisedec. He-	pelle evesque selon l’ordre de Melchisedec. He¬
Il poeut sauuer a perpetuite ceux qͥ sapprochẽt	Il poeut sauver a perpetuite ceux qui s’approchent
de dieu par luy/ uiuãt a tousioͬs poͬ ĩterceder poͬ	de dieu par luy/ vivant a tousjours pour interceder pour
uesq̃/ saĩct/ innocẽt/ sãs macule/ separe des pecheͬs	vesque/ sainct/ innocent/ sans macule/ separe des pecheurs
Le sang de Christ qui par le sainct esperit sest	Le sang de Christ qui par le sainct esperit s’est
offert a dieu soymesme sãs macule/ combien plus	offert a dieu soymesme sans macule/ combien plus
tes pour seruir a dieu uiuãt? Et pour ce est il media	tes pour servir a dieu vivant? Et pour ce est il media¬
la mort/ ceux qui sont appellez recoiuẽt la ꝓmesse	la mort/ ceux qui sont appellez recoivent la promesse
de leternel heritage/ ⁊ la redemption des trãsgres¬	de l’eternel heritage/ et la redemption des transgres¬
Hebrieux.9.c.	Hebrieux.9.c.
par loblation une foys faicte du corps de Iesus	par l’oblation une foys faicte du corps de Jesus
Christ: ⁊c. Car par une oblation il a parfaict per¬	Christ: etc. Car par une oblation il a parfaict per¬
sion dicelles/ il ny a plus doblation pour le peche.	sion d’icelles/ il n’y a plus d’oblation pour le peche.
Ie suis lhuys. Se aucun entre par moy il sera	Je suis l’huys. Se aucun entre par moy il sera
sauue: ⁊ entrera ⁊ sortira/ ⁊ trouuera pastures: Le	sauve: et entrera et sortira/ et trouvera pastures: Le
struire. Ie suis uenu affin quelles ayent uie: et	struire. Je suis venu affin qu’elles ayent vie: et
pasteur. Le bon pasteur donne sa uie pour ses bre¬	pasteur. Le bon pasteur donne sa vie pour ses bre¬
bis. Mais le mercenaire nest point pasteur. Ie¬	bis. Mais le mercenaire n’est point pasteur. Je¬
Il purgera toute brãche qui porte fruict/ affin	Il purgera toute branche qui porte fruict/ affin
Lequel a porte noz pechez en son corps sur le	Lequel a porte noz pechez en son corps sur le
boys/ affin que nous estans mortz a pechez uiuiõs	boys/ affin que nous estans mortz a pechez vivions
Car uous estiez cõme brebis errantes/ mais maint¬	Car vous estiez comme brebis errantes/ mais maint¬
ames. 1.Pet̃.2.d.	ames. 1.Pet̃.2.d.
Uiuez en crainte au temps de uostre pelerina¬	Vivez en crainte au temps de vostre pelerina¬
ne conuersation de la tradition de uoz peres: non	ne conversation de la tradition de voz peres: non
mais par le sang precieux de Christ/ qui est com¬	mais par le sang precieux de Christ/ qui est com¬
me laigneau incontamine et sans macule. 1.Pier	me l’aigneau incontamine et sans macule. 1.Pier¬
Il est ainsi escrit: et ainsi failloit que le Christ	Il est ainsi escrit: et ainsi failloit que le Christ
on preschast en son nom repentance et remission	on preschast en son nom repentance et remission
des pechez/ en toutes gens. Luc.24.g.	des pechez/ en toutes gens. Luc.24.g.
ge q̃ tous ceux qui croirõt en luy/ receurõt remissiõ	ge que tous ceux qui croiront en luy/ recevront remission
Il ny a poĩt de salut en aucun autre. Car aussi	Il n’y a point de salut en aucun autre. Car aussi
ny a il point dautre nom dõne entre les hõmes/ au	n’y a il point d’autre nom donne entre les hommes/ au¬
Par celuy uous est annonce la remission des	Par celuy vous est annonce la remission des
Actes.13.f.	Actes.13.f.
Repentez uous/ ⁊ soit chascun baptize au nom	Repentez vous/ et soit chascun baptize au nom
Le sang de son filz nous nettoye de tout peche	Le sang de son filz nous nettoye de tout peche
Par lequel nous auons redemption par son	Par lequel nous avons redemption par son
sang: remission des pechez. Coloss.1.b. Ephe.1.b.	sang: remission des pechez. Coloss.1.b. Ephe.1.b.
Quãd la benignite ⁊ amour du sauueur nostre	Quand la benignite et amour du sauveur nostre
les oeuures de iustice/ que nous faisions/ mais par	les oeuvres de justice/ que nous faisions/ mais par
sa misericorde nous a sauuez/ par le lauemẽt de la	sa misericorde nous a sauvez/ par le lavement de la
a espandu abondãment en nous par Iesus Christ	a espandu abondamment en nous par Jesus Christ
sa grace/ soyõs heritiers selon lesperance de la uie	sa grace/ soyons heritiers selon l’esperance de la vie
eternelle. Tit.3.a.2.c.	eternelle. Tit.3.a.2.c.
pery. Matthieu.18.b. Luc.19.b.	pery. Matthieu.18.b. Luc.19.b.
qui sont/ soit en terre ou eis cieux. Colos.1.c.	qui sont/ soit en terre ou eis cieux. Colos.1.c.
Faisant la purgation de noz pechez par soy¬	Faisant la purgation de noz pechez par soy¬
Pour reparer toutes choses par Christ/ lesquel	Pour reparer toutes choses par Christ/ lesquel¬
iceluy/ par lequel aussi nous sommes appellez a	iceluy/ par lequel aussi nous sommes appellez a
lheritage/ predestinez selon son bon plaisir ⁊c.	l’heritage/ predestinez selon son bon plaisir etc.
Nous donc qui sommes iustifiez par foy/ nous	Nous donc qui sommes justifiez par foy/ nous
sus Christ/ par lequel nous auõs acces par foy en	sus Christ/ par lequel nous avons acces par foy en
ceste grace ⁊c. Par plus forte raison dõc nous qui	ceste grace etc. Par plus forte raison donc nous qui
deliurez de ire par luy. Car lors que nous estions	delivrez de ire par luy. Car lors que nous estions
mort de son filz: par plus forte raison nous qui	mort de son filz: par plus forte raison nous qui
sommes recõciliez serons sauuez en la uie diceluy.	sommes reconciliez serons sauvez en la vie d’iceluy.
Uenez a moy uous tous qui estes trauaillez/	Venez a moy vous tous qui estes travaillez/
thieu.11.d.	thieu.11.d.
Dieu na pas enuoye son filz au monde pour	Dieu n’a pas envoye son filz au monde pour
ue par luy. Qui croyt en luy il nest point iuge:	ve par luy. Qui croyt en luy il n’est point juge:
point au nom du seul filz de Dieu. Et ce est le iu¬	point au nom du seul filz de Dieu. Et ce est le ju¬
gement: car la lumiere est uenue au mõde/ ⁊ les hõ	gement: car la lumiere est venue au monde/ et les hom¬
Iehan.3.b.	Jehan.3.b.
enuoye/ il a uie eternelle ⁊ ne uient point en con¬	envoye/ il a vie eternelle et ne vient point en con¬
demnation: mais passera de la mort en la uie.	demnation: mais passera de la mort en la vie.
En ce est apparue la charite de Dieu enuers	En ce est apparue la charite de Dieu envers
de/ affin que nous uiuions par luy. En ce est la	de/ affin que nous vivions par luy. En ce est la
charite/ non point pourtant que nous ayons ay¬	charite/ non point pourtant que nous ayons ay¬
me/ ⁊ a enuoye son filz reconciliation pour noz pe¬	me/ et a envoye son filz reconciliation pour noz pe¬
Il ny a nulle condemnation en ceux qui sont	Il n’y a nulle condemnation en ceux qui sont
en Iesus Christ: qui ne cheminent point selon la	en Jesus Christ: qui ne cheminent point selon la
ma deliure de la loy de peche et de mort. Ro¬	m’a delivre de la loy de peche et de mort. Ro¬
Uous estiez ces choses/ mais uoꝰ estes nettoyez/	Vous estiez ces choses/ mais vous estes nettoyez/
uous estes sanctifiez/ uoꝰ estes iustifiez par le nom	vous estes sanctifiez/ vous estes justifiez par le nom
1.Corin.6.c.	1.Corin.6.c.
a tous ⁊ sur tous ceux qui croyent en luy. Certes	a tous et sur tous ceux qui croyent en luy. Certes
il ny a point de differẽce. Tous ont peche ⁊ ont be¬	il n’y a point de difference. Tous ont peche et ont be¬
par la grace diceluy/ par la redẽption laquelle est	par la grace d’iceluy/ par la redemption laquelle est
cõciliateur par le sang diceluy/ a ceux qui ont foy.	conciliateur par le sang d’iceluy/ a ceux qui ont foy.
Romains.3.c.d.	Romains.3.c.d.
Ie scay que mõ redempteur uit/ ⁊ que au dernier	Je scay que mon redempteur vit/ et que au dernier
resuestu de ma peau/ ⁊ uerray Dieu en ma chair.	resvestu de ma peau/ et verray Dieu en ma chair.
Iob.19.d.	Job.19.d.
esuyde se deseiche/ ainsi lhõme apres qͥl est endor¬	esvyde se deseiche/ ainsi l’homme apres qu’il est endor¬
iusque a ce que le ciel soit brise/ ⁊ ne se releuera pas	jusque a ce que le ciel soit brise/ et ne se relevera pas
de son somme. Iob.14.b.	de son somme. Job.14.b.
Isa.16.d.	Isa.16.d.
de ma resurrectiõ au temps aduenir. Car mon iu¬	de ma resurrection au temps advenir. Car mon ju¬
gement est/ de assembler les nations ⁊ recueiller les	gement est/ de assembler les nations et recueiller les
Leternel Dieu dit ces choses a ces os: Uoicy ie	L’eternel Dieu dit ces choses a ces os: Voicy je
uous donneray des nerfz/ et feray uenir sur uous	vous donneray des nerfz/ et feray venir sur vous
la chair/ ⁊ estenderay sur uous la peau/ ⁊ uous dõ	la chair/ et estenderay sur vous la peau/ et vous don¬
suis le Seigneur ⁊c. Et lesperit est entre en eux/ et	suis le Seigneur etc. Et l’esperit est entre en eux/ et
⁊ estoit un moult grand exercite ⁊c. Et uous tous	et estoit un moult grand exercite etc. Et vous tous
peuple cõgnoistrez que ie suis le Seigneur/ quand	peuple congnoistrez que je suis le Seigneur/ quand
de uoz fosses/ ⁊ donneray en uous mon esperit/ ⁊	de voz fosses/ et donneray en vous mon esperit/ et
Et en ce temps la sera sauue mon peuple/ qui¬	Et en ce temps la sera sauve mon peuple/ qui¬
conque sera trouue escrit au liure. Lors plusieurs	conque sera trouve escrit au livre. Lors plusieurs
ueilleront/ aucuns en uie eternelle: les autres en	veilleront/ aucuns en vie eternelle: les autres en
Daniel.12.a.	Daniel.12.a.
Ie suis le Dieu de Abrahã/ ⁊ le Dieu de Isaac/	Je suis le Dieu de Abraham/ et le Dieu de Isaac/
mais des uiuans. Matth.25.c.	mais des vivans. Matth.25.c.
Ie scay quil resuscitera a la resurrection au der¬	Je scay qu’il resuscitera a la resurrection au der¬
nier iour. Iehã.11.c.	nier jour. Jehã.11.c.
toutes les choses qui sont escriptes en la loy ⁊ eis	toutes les choses qui sont escriptes en la loy et eis
rection des iustes ⁊ iniustes aduiendra/ laq̃lle aussi	rection des justes et injustes adviendra/ laquelle aussi
eux mesmes attendent. Act.24.d.	eux mesmes attendent. Act.24.d.
aux monumens orront la uoix du filz de Dieu.	aux monumens orront la voix du filz de Dieu.
de uie: Mais ceux qui auront faict mal/ en resur¬	de vie: Mais ceux qui auront faict mal/ en resur¬
rection de iugemẽt. Iehã.5.d. Matth.25.d.	rection de jugement. Jehã.5.d. Matth.25.d.
uous serez manifestez auec luy en gloire. Col.3.a.	vous serez manifestez avec luy en gloire. Col.3.a.
ceux qui dormẽt: affin que ne soyez contristez ainsi	ceux qui dorment: affin que ne soyez contristez ainsi
que les autres: qui nont point desperance. Car si	que les autres: qui n’ont point d’esperance. Car si
aussi Dieu amenera auec luy ceux qui dorment	aussi Dieu amenera avec luy ceux qui dorment
rolle de nostre Seigneur: que nous qui uiuerons/	rolle de nostre Seigneur: que nous qui viverons/
qui sommes le residu en laduenemẽt de nostre Sei	qui sommes le residu en l’advenement de nostre Sei¬
Car iceluy Seigneur au cõmandement ⁊ en uoix	Car iceluy Seigneur au commandement et en voix
ciel ⁊ les mortz qui sont en Christ/ resusciterõt pre¬	ciel et les mortz qui sont en Christ/ resusciteront pre¬
mierement. Puis apres nous qui uiuerons: qui se¬	mierement. Puis apres nous qui viverons: qui se¬
nuees au deuant du Seigñr en lair. Et ainsi nous	nuees au devant du Seigneur en l’air. Et ainsi nous
Affin que ne eussions cõfiance en nous mesme/	Affin que ne eussions confiance en nous mesme/
mais en Dieu/ lequel resuscite les mortz a uie.	mais en Dieu/ lequel resuscite les mortz a vie.
Maintenãt Christ est resuscite des mortz le pre	Maintenant Christ est resuscite des mortz le pre¬
par un hõme: ⁊ par un homme la resurrection des	par un homme: et par un homme la resurrection des
mortz. Et cõme tous meurẽt par Adam/ ainsi aussi	mortz. Et comme tous meurent par Adam/ ainsi aussi
ordre. Le premier est Christ: apres ceux qui sont de	ordre. Le premier est Christ: apres ceux qui sont de
Uoicy ie uous dy un mystere. Certes nous ne dor¬	Voicy je vous dy un mystere. Certes nous ne dor¬
mirons point tous/ toutesfoys nous tous serons	mirons point tous/ toutesfoys nous tous serons
niere trompe. Car la trompe sonnera/ et les mortz	niere trompe. Car la trompe sonnera/ et les mortz
Car il faut que ce corruptible/ ueste incorruption:	Car il faut que ce corruptible/ veste incorruption:
⁊ ce mortel/ ueste immortalite. 1.Corin.15.d.	et ce mortel/ veste immortalite. 1.Corin.15.d.
enuoye/ ne le tire: ⁊ ie le resusciteray au dernier ioͬ.	envoye/ ne le tire: et je le resusciteray au dernier jour.
Mais nostre cõuersation est eis cieux/ dõt aussi	Mais nostre conversation est eis cieux/ dont aussi
nous attendõs le sauueur/ nostre Seigneur Iesus	nous attendons le sauveur/ nostre Seigneur Jesus
en le conformant au corps de sa clarte selon lope¬	en le conformant au corps de sa clarte selon l’ope¬
subiectir toutes choses a soy. Phił.3.d.	subjectir toutes choses a soy. Phił.3.d.
Appelle paoures/ debiles/ boiteux/ aueugles ⁊c.	Appelle paovres/ debiles/ boiteux/ aveugles etc.
des iustes. Luc.14.c.	des justes. Luc.14.c.
ruptiõ/ en la liberte de la gloire des enfãs de dieu.	ruption/ en la liberte de la gloire des enfans de dieu.
Nous scauõs certes que toute creature gemit ⁊ tra	Nous scavons certes que toute creature gemit et tra¬
